id_penyakit,Nama_Penyakit,links-href,Deskripsi_Penyakit_1,Deskripsi_Penyakit_2,Anjuran_Penanganan_1,Anjuran_Penangan_2
11,Disentri,https://www.klikdokter.com/penyakit/masalah-infeksi/disentri,Disentri merupakan diare yang disertai darah atau lendir akibat adanya peradangan atau infeksi pada usus.,,"Dalam penanganan disentri, pemberian antibiotik mungkin tidak diperlukan untuk mengatasi gejala ringan. Namun jika gejalanya bersifat sedang sampai berat, maka diperlukan antibiotik yang sesuai dengan bakteri penyebabnya. Selain itu bisa ditambah obat-obatan untuk mengurangi gejala diare.","Hindari obat diare yang bersifat antimotilitas atau menurunkan pergerakan usus (seperti loperamide). Hal tersebut dapat memperparah gejala yang ada. Jika sudah muncul tanda dehidrasi, maka diperlukan asupan cairan dengan oralit atau infus."
12,Dispepsia,https://www.klikdokter.com/penyakit/masalah-pencernaan/dispepsia,"Nyeri ulu hati atau dispepsia merupakan gangguan yang terjadi di daerah perut bagian tengah. Gangguan ini bisa memunculkan sekumpulan gejala berupa rasa nyeri pada ulu hati, kembung, mual dan muntah, dan sebagainya. Nyeri ini dapat hilang timbul, tetapi biasanya terjadi secara terus-menurus.","Komplikasi serius pada nyeri ulu hati atau dispepsia sebenarnya jarang terjadi. Hanya saja, jika tidak segera diatasi dapat menimbulkan luka pada lambung yang dalam atau melebar. Kondisi yang akan terjadi tergantung dari berapa lama lambung terpapar oleh asam lambung. Tapi bisa dipastikan bahwa komplikasi bisa berakibat fatal karena penderita terancam terkena kanker lambung.","Pertolongan pertama untuk mengatasi nyeri ulu hati atau dispepsia dapat dilakukan dengan meminum obat yang direkomendasikan oleh dokter. Misalnya, dengan mengonsumsi obat yang mengandung antasida untuk mengurangi asam lambung. Jangan lupa untuk makan makanan apa pun yang ada, memperbanyak konsumsi air putih, serta istirahat.","Obat-obatan biasanya dapat menangani dispepsia dengan baik. Jika Anda mengalami luka pada dinding lambung, obat anti asam lambung bisa membantu untuk mengatasinya. Jika timbul kecurigaan adanya infeksi, maka antibiotik dapat diberikan. Apabila dokter curiga bahwa obat-obatan yang Anda minum menyebabkan gangguan, maka akan diberikan obat lain."
13,Faringitis,https://www.klikdokter.com/penyakit/masalah-tht/faringitis,Faringitis adalah istilah medis untuk infeksi atau iritasi pada daerah faring (tenggorokan).  Faring merupakan saluran yang mengantarkan udara dari hidung dan mulut menuju ke paru. Umumnya faringitis disebabkan oleh infeksi virus dan bakteri.,,Faringitis adalah istilah medis untuk infeksi atau iritasi pada daerah faring (tenggorokan).  Faring merupakan saluran yang mengantarkan udara dari hidung dan mulut menuju ke paru. Umumnya faringitis disebabkan oleh infeksi virus dan bakteri.,"Jika melalui pemeriksaan swab tenggorokan terbukti adanya infeksi bakteri, maka dokter akan memberikan antibiotik golongan beta lactam, seperti penisilin atau amoksisilin, selama 10–14 hari untuk membunuh semua bakteri."
14,Herpes Zoster,https://www.klikdokter.com/penyakit/masalah-kulit/herpes-zoster,Herpes zoster adalah penyakit infeksi yang menimbulkan bintik berair di kulit. Kondisi ini bisa amat mengganggu karena nyeri yang dirasakan.,Penyakit herpes zoster yang juga dikenal dengan cacar api adalah infeksi yang disebabkan oleh varisela zoster.,Tidak ada pengobatan atau perawatan khusus untuk menangani penyakit herpes zoster. Penanganan yang dilakukan adalah untuk mempercepat penyembuhan dan mengurangi risiko terjadinya komplikasi. ,"Apabila ruam terasa gatal, kamu dapat menggunakan losion kalamin untuk meredakannya. Jika cairan dalam ruam merembes ke luar, kompres dingin selama 20 menit beberapa kali sehari agar kebersihannya tetap terjaga."
15,Hipersomnia,https://www.klikdokter.com/penyakit/masalah-tidur/hipersomnia,"Hipersomnia merupakan gangguan tidur yang cukup jarang, yang dapat menyebabkan rasa kantuk berlebih pada siang hari. Bahkan meski sudah mendapatkan tidur yang cukup pada malam hari. Kondisi ini juga sering kali menyebabkan kesulitan untuk bangun pada pagi hari setelah tidur pada malam hari atau tidur siang.","Pada kondisi ini, kebutuhan untuk tidur dapat terjadi kapan saja, termasuk pada saat mengemudikan kendaraan atau bekerja, yang dapat membuat kondisi ini menjadi berbahaya. Umumnya, hipersomnia berkembang selama beberapa minggu hingga beberapa bulan.",Penanganan terhadap hipersomnia ditujukan untuk meredakan tanda dan gejala yang timbul. Pengobatan stimulan tertentu dapat diresepkan oleh dokter untuk membantu tubuh tetap terjaga pada siang hari bila dinilai dibutuhkan.,"Selain itu, dokter juga dapat merekomendasikan untuk membuat pola tidur malam yang rutin dan menghindari alkohol, kafein, serta obat-obatan tertentu yang dapat memengaruhi pola tidur."
16,Infeksi Kulit,https://www.klikdokter.com/penyakit/masalah-kulit/infeksi-kulit,Kulit merupakan organ terluas di tubuh manusia. Karena itu infeksi kulit bisa terjadi di berbagai area tubuh. Infeksi kulit pada dasarnya merupakan kondisi peradangan kulit akibat kuman yang masuk ke dalam lapisan-lapisan kulit.,,Pengobatan infeksi kulit juga tergantung pada penyebab infeksi. Infeksi kulit akibat virus umumnya akan sembuh dengan sendirinya dalam beberapa hari hingga beberapa minggu. Infeksi ini tidak memerlukan pengobatan khusus. Anda biasanya dianjurkan untuk meningkatkan daya tahan tubuh agar serangan virus segera berlalu.,Infeksi kulit akibat bakteri umumnya membutuhkan pengobatan dengan antibiotik. Obat antibiotik dapat diberikan dengan cara dioleskan atau dengan cara diminum/ oral. Pemilihan jenis antibiotik dan cara penggunaannya perlu petunjuk lebih lanjut oleh dokter dan tak boleh dilakukan secara sembarangan.
17,Insomnia,https://www.klikdokter.com/penyakit/masalah-tidur/insomnia,Keadaan sulit tidur atau insomnia adalah gangguan tidur yang ditandai dengan kesulitan untuk memulai atau mempertahankan tidur. ,"Jumlah durasi waktu tidur yang dibutuhkan setiap orang memang berlainan. Akan tetapi, kebutuhan tidur orang dewasa rata-rata adalah 7- 8 jam per hari.",,
18,Jamur Kulit,https://www.klikdokter.com/penyakit/masalah-kulit/jamur-kulit,"Jamur kulit adalah istilah yang sering digunakan untuk infeksi jamur pada kulit. Keadaan normal, jamur tertentu ditemukan di kulit manusia","Namun jika jumlahnya berlebihan, terdapat keretakan kulit, atau bila daya tahan tubuh yang lemah, jamur dapat menyebabkan infeksi.","Pengobatan jamur kulit tergantung pada jenis jamur penyebabnya. Jika disebabkan oleh jamur dematofita, jamur kulit yang tidak terlalu luas dapat diobati dengan obat oles yang mengandung miconazole atau clotrimazole.",
19,Jerawat,https://www.klikdokter.com/penyakit/masalah-kulit/jerawat,"Jerawat (acne) adalah gangguan pada kulit yang berhubungan dengan produksi minyak (sebum) berlebih. Hal tersebut menyebabkan peradangan serta penyumbatan pada pori-pori kulit. Peradangan ditandai dengan munculnya benjolan kecil (yang terkadang berisi nanah) di atas kulit. Gangguan kulit ini biasa terdapat di bagian tubuh dengan kelenjar minyak terbanyak, yaitu di wajah, leher, bagian atas dada, dan punggung.",,,
20,Jet Lag,https://www.klikdokter.com/penyakit/masalah-tidur/jet-lag,"Jet lag sebenarnya bukanlah suatu penyakit, melainkan respons tubuh yang wajar ketika seseorang mengalami perubahan zona waktu yang ekstrem.","Jet lag ditandai dengan gangguan tidur, sakit kepala, dan gangguan emosi. Kondisi yang juga sering disebut sebagai zone change syndrome atau desinkronosis ini lebih umum dialami seseorang yang bepergian dari negara barat ke timur.","Sebisa mungkin hindari mengonsumsi makanan atau minuman berkafein saat dalam perjalanan dan setelah sampai tujuan, karena kafein sendiri dapat mengganggu irama tidur seseorang.",Tetaplah tenang bila mengalami jet lag karena hal ini tidak akan berlangsung berkepanjangan. Tubuh umumnya mulai dapat beradaptasi dengan zona waktu di negara yang baru dalam waktu 1–3 hari.
21,Katarak,https://www.klikdokter.com/penyakit/masalah-mata/katarak,"Katarak atau kekeruhan lensa merupakan kondisi terjadinya kekeruhan pada organ mata, yaitu lensa mata. Gangguan mata ini merupakan penyebab kebutaan utama yang dapat diobati di dunia saat ini.","Sebagian besar katarak atau kekeruhan lensa timbul pada usia tua sebagai akibat paparan terus menerus terhadap pengaruh lingkungan dan pengaruh lainnya. Beberapa hal yang dapat memengaruhinya adalah merokok, radiasi sinar ultraviolet, dan peningkatan kadar gula darah.",Penentuan diagnosis katarak atau kekeruhan lensa dilakukan lewat serangkaian wawancara dan pemeriksaan fisik. Pemeriksaan fisik yang dilakukan berupa pemeriksaan lapang pandang (misalnya dengan melihat huruf pada jarak 6 m) yang biasanya memberikan hasil terdapatnya penurunan ketajaman penglihatan.,"Selain itu terdapat pemeriksaan dengan menggunakan senter yang diarahkan pada samping mata, yang akan memperlihatkan kekeruhan pada lensa mata yang berbentuk seperti bulan sabit (shadow test positif)."
22,Kejang Demam,https://www.klikdokter.com/penyakit/masalah-kesehatan-umum/kejang-demam,"Kejang demam adalah kondisi kejang yang diikuti demam dengan suhu lebih 38 derajat Celsius, tanpa disertai dengan penyakit di luar jaringan otak. ","Kondisi ini terjadi pada anak berusia antara enam bulan sampai lima tahun. Sebanyak 2 - 4 persen kasus kejang demam terjadi pada anak di bawah usia lima tahun. Dari total kasus itu, paling sering terjadi pada bayi berusia 12 - 18 bulan.","Setelah kejang demam berakhir, segera bawa anak ke dokter untuk mengetahui penyebab demam yang dialami anak. Dokter biasanya akan meresepkan obat penurun panas, seperti paracetamol atau ibuprofen, untuk menurunkan demam yang dapat menyebabkan kejang.","Umumnya, kejang demam tidak membutuhkan perawatan rumah sakit. Namun, jika terjadi kejang demam kompleks, perawatan rumah sakit akan dibutuhkan untuk mencari penyebab infeksi."
23,Keracunan Makanan,https://www.klikdokter.com/penyakit/masalah-pencernaan/keracunan-makanan,"Keracunan makanan merupakan salah satu gangguan kesehatan yang cukup sering terjadi di Indonesia. Kendati tidak ada data pasti, tidak jarang terjadi kasus saat seorang penderitanya harus dilarikan ke Unit Gawat Darurat (UGD) untuk mendapat penanganan lebih lanjut.","Penyebab keracunan makanan cukup beragam. Bisa karena kontaminasi virus, bakteri, ataupun parasit. Berbagai organisme ini mengeluarkan racun yang kemudian mengakibatkan berbagai keluhan kesehatan. Keluhan yang muncul dapat berupa keluhan ringan, sedang, hingga berat yang bahkan dapat mengancam nyawa penderitanya.","Karena penderita keracunan sangat rentan dehidrasi, maka rehidrasi atau pemberian cairan menjadi langkah utama yang perlu dilakukan. Bila pasien tidak mampu minum karena mual muntah berlebih misalnya, maka rehidrasi dapat dilakukan melalui infus.","Pengobatan lain keracunan makanan didasari oleh gejala yang dialami penderita. Pada penderita dengan keluhan demam, dapat diberikan penurun panas."
24,Kolera,https://www.klikdokter.com/penyakit/masalah-infeksi/kolera,Kolera merupakan penyakit akibat infeksi usus kecil yang disebabkan oleh bakteri Vibrio cholerae. Penyakit ini biasanya menginfeksi lewat makanan atau minuman yang telah terkontaminasi.,"Bakteri Vibrio cholera mengeluarkan racun di usus yang memicu terjadinya diare yang disertai muntah. Jika tidak segera ditangani, Anda bisa kehilangan banyak cairan dan mengalami dehidrasi. Bahkan penyakit kolera bisa mengancam jiwa.","Penanganan pertama jika menderita kolera adalah memperbanyak asupan cairan untuk mencegah dehidrasi akibat kolera. Sangat penting untuk segera mengganti kehilangan cairan, garam, dan mineral dari tubuh. Bagi penderita yang mengalami dehidrasi berat, cairan akan diberikan melalui infus.","Bila dehidrasi sudah diatasi, tujuan pengobatan selanjutnya adalah untuk menggantikan jumlah cairan yang hilang karena diare dan muntah. Pengobatan awal dengan tetrasiklin atau antibiotik lainnya bisa membunuh bakteri dan biasanya akan menghentikan diare dalam 48 jam."
25,Konstipasi,https://www.klikdokter.com/penyakit/masalah-pencernaan/konstipasi,Konstipasi merupakan kondisi di mana buang air besar terjadi kurang dari tiga kali dalam satu minggu.,"Walaupun konstipasi yang tidak menetap cukup sering terjadi, beberapa individu dapat mengalami konstipasi yang kronis atau berkepanjangan. Hal ini dapat menyebabkan mengejan yang berlebih saat buang air besar, serta beberapa tanda dan gejala lainnya.",Penanganan pada konstipasi kronis umumnya dimulai dari perubahan diet dan gaya hidup yang ditujukan untuk meningkatkan kecepatan pergerakan feses melalui usus.,"Dokter juga dapat meresepkan obat-obatan yang memperlancar buang air besar, bergantung dari derajat keparahan keluhan. Selain itu, prosedur pembedahan merupakan salah satu pilihan apabila berbagai penanganan sudah dicoba namun tidak berhasil. Diskusikanlah bersama dokter untuk menentukan penanganan yang paling sesuai bagi konstipasi kronis yang dialami."
26,Kram Otot,https://www.klikdokter.com/penyakit/masalah-otot-dan-sendi/kram-otot,"Kram otot terjadi apabila seseorang mengalami kontraksi otot tiba-tiba, tidak segera mereda dan terasa sangat nyeri.","Otot yang kontraksi tiba-tiba, tidak kunjung reda adalah gejala kram otot. Bila dilihat, area otot yang terkena terlihat menegang dan teraba keras. Kram otot dapat terjadi beberapa kali sebelum keluhan benar-benar hilang.",Umumnya pengobatan kram otot tidak memerlukan penanganan serius oleh dokter.,"Walau dapat sembuh dengan sendirinya, penanganan oleh dokter tetap dibutuhkan pada kasus berikut ini: Kram otot yang menyebabkan nyeri hebat, tidak kunjung mereda dengan langkah yang dilakukan sendiri, Otot terlihat merah, bengkak dan teraba hangat, Terjadi kelemahan otot setelahnya, Sangat sering dialami."
27,Kudis,https://www.klikdokter.com/penyakit/masalah-kulit/kudis,Kudis dalam bahasa medis dikenal dengan istilah scabies. Ini adalah penyakit kulit yang disebabkan oleh tungau (mite) Sarcoptes scabei. Tungau ini berukuran sangat kecil dan hanya bisa dilihat dengan mikroskop atau bersifat mikroskopis.,"Penyakit ini mudah menular baik dari manusia ke manusia maupun dari hewan ke manusia atau sebaliknya. Kudis atau scabies sangat mudah menyebar. Penyebarannya dapat secara langsung melalui sentuhan langsung dengan penderita maupun secara tak langsung melalui baju, seprai, handuk, bantal, air, atau sisir yang pernah digunakan penderita.",Pengobatan kudis atau scabies tidak terlalu sulit. Dokter akan memberikan krim yang bisa Anda oleskan di seluruh tubuh yang bisa Anda biarka sepanjang malam. Setelah itu lalu basuh hingga bersih. Pengobatan ini biasanya diulang setelah 1 minggu.,Namun ada juga krim lain yang harus Anda bersihkan setelah 8 jam. Krim tersebut juga dapat Anda oleskan ke seluruh tubuh dari leher ke bawah. Kedua obat tersebut cukup efektif. Namun pastikan Anda telah berkonsultasi dengan dokter terlebih dahulu sebelum menggunakannya.
28,Kurap,https://www.klikdokter.com/penyakit/masalah-kulit/kurap,Kurap adalah infeksi jamur yang dapat terjadi pada semua area kulit. ,"Penyakit kurap sendiri disebabkan oleh jamur golongan dermatofita yang menyerang jaringan berkeratin, seperti kulit. Jamur ini bersifat menghancurkan lapisan kulit terluar.","Pengobatan kurap biasanya dilakukan dengan menggunakan salep antimikotiik (antijamur), yang digunakan selama 2–3 minggu. Penderitanya juga bisa mengonsumsi tablet antijamur yang diresepkan dokter, bila keluhan tak kunjung membaik setelah penggunaan salep.","Jika sudah memperbaiki kebiasaan, menjaga kebersihan, dan menghindari lembap, tapi lesi kulit semakin meluas atau ada infeksi sekunder dan tak membaik dengan obat sebaiknya lakukan pemeriksaan langsung ke dokter."
29,Luka Bakar,https://www.klikdokter.com/penyakit/masalah-kulit/luka-bakar,"Luka bakar merupakan kondisi yang timbul akibat pajanan panas suhu sedang – tinggi terhadap kulit tubuh. Luka bakar bisa terjadi karena berbagai sumber penyebab, termasuk di antaranya adalah sinar matahari, zat kimia, listrik, atau api.","Luka bakar bisa menimbulkan rasa sangat nyeri, menyebabkan kulit merah dan mengelupas, luka, pembengkakan, serta perubahan warna kulit. Nyeri yang dirasakan tidak selalu berbanding lurus dengan tingkat keparahan luka bakar. Ini karena luka bakar dengan tingkat keparahan yang tinggi mungkin tidak lagi terasa nyeri.","Penanganan luka bakar bergantung pada tipe dan luas luka yang terjadi. Untuk luka bakar yang cukup berat, setelah mendapatkan penanganan awal, selanjutnya pasien harus mendapatkan pengobatan, penutupan luka, terapi, dan pembedahan.",
30,Malaria,https://www.klikdokter.com/penyakit/masalah-infeksi/malaria,"Malaria adalah penyakit menular yang disebarkan melalui gigitan nyamuk. Biasanya pasien akan mengeluhkan gejala demam, lemas, dan menggigil.",,"Segerakan mengunjungi dokter jika Anda mengalami gejala-gejala berikut: Demam tinggi disertai gejala-gejala setelah mengunjungi daerah dengan risiko penyakit malaria yang tinggi, Demam tinggi disertai gejala seperti lemas, penurunan nafsu makan dan tinggal seorang diri atau jauh dari fasilitas kesehatan Mengalami penurunan kesadaran, Kejang.",
31,Masuk Angin,https://www.klikdokter.com/penyakit/masalah-kesehatan-umum/masuk-angin,Masuk angin adalah istilah yang sering digunakan masyarakat Indonesia saat merasakan sekumpulan gejala yang berhubungan dengan tidak enak badan.,,"Tidak ada obat masuk angin yang dapat diberikan untuk menyembuhkan penderita masuk ‘angin’ ini. Sering kali, pengobatan simptomatik sudah mencukupi. Pengobatan simptomatik berupa obat-obat untuk meredakan gejala yang dirasakan penderita. Misalnya saja, penurun demam, anti-mual, anti-nyeri untuk sakit kepala, dan lain-lain.","Namun jika keluhan tidak kunjung membaik dengan pengobatan, sebaiknya Anda berkonsultasi lebih lanjut dengan dokter."
32,Mata Ikan,https://www.klikdokter.com/penyakit/masalah-kulit/mata-ikan,"Mata ikan atau clavus adalah penebalan kulit akibat adanya gesekan yang berulang. Kondisi tersebut sering kali ditemukan pada bagian tubuh yang menonjol, tonjolan tulang di telapak kaki atau tangan.","Penebalan kulit pada mata ikan dapat menimbulkan rasa nyeri dan menyebabkan luka jika tidak ditangani dengan baik. Pada dasarnya, clavus tidak berbahaya. Namun, penderitanya sering terganggu karena dapat terasa sakit dan mengganggu aktivitas.","Apabila perawatan mandiri di rumah tidak dapat mengurangi rasa nyeri di sekitar mata ikan, sebaiknya segera ke dokter. Apalagi, nyeri disertai dengan peradangan dan perdarahan.","Selain itu, apabila kamu punya memiliki riwayat diabetes, penyakit arteri perifer, penyakit sistem imun, atau penyakit jantung, sebaiknya tidak melakukan perawatan mandiri di rumah. Segera minta bantuan dokter agar tidak memicu komplikasi infeksi."
33,Mata Kering,https://www.klikdokter.com/penyakit/masalah-mata/mata-kering,Mata kering adalah suatu gangguan pada permukaan mata yang ditandai dengan ketidakstabilan produksi dari lapisan air mata. Seorang dengan mata kering akan mengeluh adanya sensasi gatal atau mata terasa seperti berpasir.,"Dalam dunia medis, mata kering juga dikenal dengan istilah keratoconjunctivitis sicca, atau untuk lebih mudahnya bisa disebut sindrommata kering. Tingkat keparahan keluhan mata kering cukup bervariasi, mulai dari ringan hingga berat. Bahkan pada beberapa kasus, mata kering juga dapat disertai komplikasi.",Mata kering dapat ditangani dengan melakukan berbagai hal. Anda bisa melakukan pengompresan mata dengan air hangat selama 2 menit. Lakukan sebanyak 2–4 kali sehari. Kemudian bersihkan dengan sampoo bayi.,Air mata juga dapat digantikan dan distimulasi dengan cairan hipotonik khusus. Penggunaan obat penekan peradangan dan pembedahan dapat dilakukan pada kasus mata kering tertentu. Konsultasi dengan dokter mata diperlukan untuk kasus mata kering yang berat.
