links,links-href,Deskripsi_Penyakit
Defisiensi Antitrombin,https://www.klikdokter.com/penyakit/gangguan-darah/defisiensi-antitrombin,Defisiensi antitrombin merupakan suatu kondisi ketika kadar antitrombin dalam darah tergolong rendah.
Demam,https://www.klikdokter.com/penyakit/masalah-kesehatan-umum/demam,"Demam adalah kondisi meningkatnya suhu tubuh di atas rata-rata suhu harian. Ketahui penyebab, gejala, dan dan cara mengobati demam di sini."
Demam Berdarah Dengue,https://www.klikdokter.com/penyakit/masalah-infeksi/demam-berdarah-dengue,"Demam berdarah dengue (DBD) adalah penyakit yang disebabkan oleh infeksi virus Dengue. Berikut gejala, penyebab, dan pengobatannya."
Demam Kelenjar,https://www.klikdokter.com/penyakit/masalah-infeksi/demam-kelenjar,Demam kelenjar adalah infeksi yang disebabkan oleh virus Epstein-Barr (EBV).
Demam Kuning,https://www.klikdokter.com/penyakit/masalah-infeksi/demam-kuning,Demam kuning atau yellow fever adalah penyakit akut yang disebabkan oleh virus dan disebarkan oleh nyamuk.
Demam Pada Anak,https://www.klikdokter.com/penyakit/masalah-kesehatan-umum/demam-pada-anak,Demam pada anak adalah peningkatan suhu tubuh anak yang di atas normal.
Dermatitis Atopik,https://www.klikdokter.com/penyakit/masalah-kulit/dermatitis-atopik,"Dermatitis atopik adalah salah satu kondisi peradangan pada kulit, yang ditandai dengan ruam merah, gatal, kering, dan pecah-pecah. Begini cara pengobatannya."
Dermatitis Kontak,https://www.klikdokter.com/penyakit/masalah-kulit/dermatitis-kontak,Dermatitis kontak merupakan kondisi yang ditandai dengan adanya ruam merah dan gatal akibat kontak langsung dengan suatu benda.
Dermatitis Seboroik,https://www.klikdokter.com/penyakit/masalah-kulit/dermatitis-seboroik,"Dermatitis seboroik adalah penyakit kulit kronis berupa kulit yang kering, mengelupas, dan merah."
Diare,https://www.klikdokter.com/penyakit/masalah-pencernaan/diare,"Diare adalah kondisi feses encer atau berair dengan frekuensi lebih sering dari biasanya. Apa itu diare, penyebab, gejala, dan pengobatannya"
Difteri,https://www.klikdokter.com/penyakit/masalah-infeksi/difteri,Difteri merupakan penyakit infeksi akut yang sangat menular dan bisa mengancam nyawa jika tidak segera ditangani.
Disentri,https://www.klikdokter.com/penyakit/masalah-infeksi/disentri,Disentri merupakan diare yang disertai darah atau lendir akibat adanya peradangan atau infeksi pada usus.
Disfagia,https://www.klikdokter.com/penyakit/masalah-kesehatan-umum/disfagia,Disfagia adalah suatu kondisi saat Anda membutuhkan waktu dan usaha lebih untuk menggerakkan makanan atau cairan dari mulut menuju lambung.
Dispepsia,https://www.klikdokter.com/penyakit/masalah-pencernaan/dispepsia,Nyeri ulu hati atau dispepsia merupakan gangguan yang terjadi di daerah perut bagian tengah.
Distonia,https://www.klikdokter.com/penyakit/masalah-otot-dan-sendi/distonia,"Distonia merupakan kelainan pergerakan, yaitu ketika otot mengalami kontraksi yang tidak diinginkan lalu menyebabkan gerakan repetitif."
E. coli,https://www.klikdokter.com/penyakit/masalah-infeksi/e-coli,Escherichia coli atau E. coli adalah salah satu jenis bakteri yang dapat ditemukan dalam saluran pencernaan manusia dan hewan.
Enterobiasis,https://www.klikdokter.com/penyakit/masalah-infeksi/enterobiasis,Penyakit enterobiasis merupakan salah satu jenis penyakit cacingan.
Faringitis,https://www.klikdokter.com/penyakit/masalah-tht/faringitis,Faringitis adalah istilah medis untuk infeksi atau iritasi pada daerah faring (tenggorokan).
Fibromyalgia,https://www.klikdokter.com/penyakit/masalah-otot-dan-sendi/fibromyalgia,"Fibromyalgia atau nyeri otot adalah suatu sindrom yang menyebabkan rasa nyeri dan kaku pada bagian otot, tendon, dan sendi seluruh tubuh."
Filariasis,https://www.klikdokter.com/penyakit/masalah-infeksi/filariasis,Filariasis merupakan infeksi menular yang disebabkan oleh cacing filaria.
Flek Hitam,https://www.klikdokter.com/penyakit/masalah-kulit/flek-hitam,Flek Hitam adalah penumpukan pigmen kulit (melanin) pada kulit.
Flu Perut,https://www.klikdokter.com/penyakit/masalah-pencernaan/flu-perut,"Flu perut (gastroenteritis) adalah istilah untuk berbagai gejala akibat peradangan saluran cerna. Ini penyebab, gejala, dan pengobatannya."
Flu Tulang,https://www.klikdokter.com/penyakit/masalah-infeksi/flu-tulang,"Flu tulang adalah istilah yang sering digunakan untuk menjelaskan mengenai penyakit Chikungunya. Ini penyebab, gejala, dan pengobatannya"
Gangguan Elektrolit,https://www.klikdokter.com/penyakit/gangguan-darah/gangguan-elektrolit,Gangguan elektrolit adalah kondisi ketika salah satu atau beberapa jenis elektrolit jumlahnya lebih rendah atau berlebihan dari kadar normal. Apa penyebabnya?
Gangguan Pencernaan,https://www.klikdokter.com/penyakit/masalah-pencernaan/gangguan-pencernaan,"Gangguan pencernaan adalah gangguan dari sistem pencernaan yang mencakup mulut, kerongkongan, lambung, usus kecil, usus besar, dan anus."
Gangguan Sendi Rahang,https://www.klikdokter.com/penyakit/masalah-otot-dan-sendi/gangguan-sendi-rahang,Gangguan sendi rahang merupakan gangguan yang langsung berada di area depan telinga pada kedua sisi kepala
Gastroenteritis (Muntaber),https://www.klikdokter.com/penyakit/masalah-pencernaan/gastroenteritis,Gastroenteritis merupakan penyakit infeksi pada saluran pencernaan yang ditandai dengan muntah dan/ atau diare. Umumnya bisa sembuh 2-3 hari
Gastroparesis,https://www.klikdokter.com/penyakit/masalah-pencernaan/gastroparesis,Gastroparesis merupakan kelainan di lambung yang ditandai dengan lambatnya pengosongan makanan dari lambung ke usus halus.
Gerd,https://www.klikdokter.com/penyakit/masalah-pencernaan/gerd,"Gastroesophageal reflux disease atau GERD adalah penyakit kronis pada sistem pencernaan. Apa itu GERD, penyebab, gejala, dan pengobatannya"
Giardiasis,https://www.klikdokter.com/penyakit/masalah-infeksi/giardiasis,Giardiasis adalah penyakit yang menyerang saluran pencernaan berupa infeksi usus halus. Penyakit ini biasanya akan hilang beberapa minggu
Hemofilia,https://www.klikdokter.com/penyakit/gangguan-darah/hemofilia,Hemofilia adalah kondisi tubuh kekurangan protein yang dibutuhkan dalam proses pembekuan darah apabila terjadi perdarahan. Apa gejalanya? Simak di sini.
Herpes Zoster,https://www.klikdokter.com/penyakit/masalah-kulit/herpes-zoster,Herpes zoster adalah penyakit infeksi yang menimbulkan bintik berair di kulit. Kondisi ini bisa amat mengganggu karena nyeri yang dirasakan.
Hipersomnia,https://www.klikdokter.com/penyakit/masalah-tidur/hipersomnia,"Hipersomnia merupakan gangguan tidur yang cukup jarang, yang dapat menyebabkan rasa kantuk berlebih pada siang hari."
Hipoalbuminemia,https://www.klikdokter.com/penyakit/gangguan-darah/hipoalbuminemia,Hipoalbuminemia merupakan suatu kondisi di mana tubuh kekurangan albumin di dalam darah
Impetigo,https://www.klikdokter.com/penyakit/masalah-kulit/impetigo,Impetigo adalah penyakit infeksi kulit yang banyak dijumpai pada anak dan balita. Apa penyebab dan gejala impetigo? Simak di sini.
Infeksi Cacing Tambang,https://www.klikdokter.com/penyakit/masalah-infeksi/infeksi-cacing-tambang,"Infeksi cacing tambang banyak dijumpai di Indonesia, karena mudah berkembang biak di tanah yang lembap dan iklim yang tropis."
Infeksi Helicobacter Pylori,https://www.klikdokter.com/penyakit/masalah-infeksi/infeksi-helicobacter-pylori,Infeksi Helicobacter pylori adalah penyakit yang disebabkan oleh bakteri Helicobacter pylori. Bagaimana cara mengobati Infeksi Helicobacter pylori?
Infeksi Jamur,https://www.klikdokter.com/penyakit/masalah-infeksi/infeksi-jamur,Infeksi jamur di kulit umumnya dialami oleh orang-orang yang mudah berkeringat dan tinggal di cuaca yang lembab.
Infeksi Kulit,https://www.klikdokter.com/penyakit/masalah-kulit/infeksi-kulit,Infeksi kulit pada dasarnya merupakan kondisi peradangan kulit akibat kuman yang masuk ke dalam lapisan-lapisan kulit.
Infeksi Payudara,https://www.klikdokter.com/penyakit/masalah-infeksi/infeksi-payudara,Infeksi payudara merupakan peradangan yang terjadi di payudara akibat infeksi kuman.
Infeksi virus,https://www.klikdokter.com/penyakit/masalah-infeksi/infeksi-virus,Infeksi virus merupakan penyakit infeksi yang disebabkan oleh masuknya virus ke dalam tubuh manusia.
Inkontinensia Alvi,https://www.klikdokter.com/penyakit/masalah-pencernaan/inkontinensia-alvi,Inkontinensia alvi dikenal juga dengan nama inkontinensia feses. Istilah ini menggambarkan ketidakmampuan seseorang dalam mengontrol BAB
Insomnia,https://www.klikdokter.com/penyakit/masalah-tidur/insomnia,"Insomnia (susah tidur) adalah gangguan yang ditandai kesulitan untuk memulai atau menjaga tidur. Ini penyebab, gejala, pengobatan insomnia."
Intoleransi Gluten,https://www.klikdokter.com/penyakit/masalah-pencernaan/intoleransi-gluten,Intoleransi gluten memang bukan kondisi yang umum. Beberapa orang menyamakan kondisi ini dengan alergi.
Intoleransi Laktosa,https://www.klikdokter.com/penyakit/masalah-pencernaan/intoleransi-laktosa,Intolerasi laktosa merupakan suatu kondisi di mana tubuh tidak lagi mampu mencerna laktosa.
Irritable Bowel Syndrome,https://www.klikdokter.com/penyakit/masalah-pencernaan/irritable-bowel-syndrome,Irritable bowel syndrome (IBS) merupakan gangguan saluran pencernaan menahun yang biasanya menyerang usus besar.
Jamur Kuku,https://www.klikdokter.com/penyakit/masalah-kulit/jamur-kuku,"Jamur kuku, atau juga dikenal dengan istilah kesehatan onikomikosis, merupakan suatu kelainan yang dapat terjadi baik pada kuku jari tangan"
Jamur Kulit,https://www.klikdokter.com/penyakit/masalah-kulit/jamur-kulit,"Jamur kulit adalah istilah yang sering digunakan untuk infeksi jamur pada kulit. Keadaan normal, jamur tertentu ditemukan di kulit manusia"
Jerawat,https://www.klikdokter.com/penyakit/masalah-kulit/jerawat,Jerawat (acne) adalah gangguan pada kulit yang berhubungan dengan produksi minyak (sebum) berlebih.
Jet Lag,https://www.klikdokter.com/penyakit/masalah-tidur/jet-lag,"Jet lag sebenarnya bukanlah suatu penyakit, melainkan respons tubuh yang wajar ketika seseorang mengalami perubahan zona waktu yang ekstrem."
Kalazion,https://www.klikdokter.com/penyakit/masalah-mata/kalazion,Kalazion merupakan kelainan mata yang ditandai dengan adanya benjolan pada kelopak mata.
Kandidosis,https://www.klikdokter.com/penyakit/masalah-infeksi/kandidosis,Kandidiasis adalah infeksi jamur yang bersifat akut. Infeksi biasanya pada vagina atau vulva (bagian paling luar dari organ intim wanita).
Kapalan,https://www.klikdokter.com/penyakit/masalah-kulit/kapalan,"Kapalan, atau dikenal pula dengan istilah kesehatan callus, merupakan suatu kondisi yang ditandai dengan adanya lapisan tebal dan keras pada"
Katarak,https://www.klikdokter.com/penyakit/masalah-mata/katarak,"Katarak atau kekeruhan lensa merupakan kondisi terjadinya kekeruhan pada organ mata, yaitu lensa mata."
Kebotakan,https://www.klikdokter.com/penyakit/masalah-kulit/kebotakan,Kebotakan atau alopesia adalah kerontokan rambut yang dapat disebabkan oleh berbagai faktor.
Kejang Demam,https://www.klikdokter.com/penyakit/masalah-kesehatan-umum/kejang-demam,Kejang demam alias step biasanya terjadi pada bayi dan balita yang dipicu demam. Apa penyebab dan bagaimana pengobatannya? Simak di sini.
Kelainan Darah,https://www.klikdokter.com/penyakit/gangguan-darah/kelainan-darah,Blood disorders atau kelainan darah adalah kondisi ketika komponen penyusun darah tidak bisa berfungsi normal. Bagaimana cara mengobati kelainan darah?
Keloid,https://www.klikdokter.com/penyakit/masalah-kulit/keloid,"Penyakit Keloid, saat bagian tubuh manusia mengalami luka atau cedera pada kulit, akan terjadi pembentukan jaringan fibrosa"
Keracunan Makanan,https://www.klikdokter.com/penyakit/masalah-pencernaan/keracunan-makanan,Keracunan makanan merupakan salah satu gangguan kesehatan yang cukup sering terjadi di Indonesia. Kendati tidak ada data pasti
Keratitis,https://www.klikdokter.com/penyakit/masalah-mata/keratitis,Keratitis adalah peradangan pada kornea mata.
Keratosis Pilaris,https://www.klikdokter.com/penyakit/masalah-kulit/keratosis-pilaris,Keratosis pilaris atau 'kulit ayam' adalah kelainan kulit di mana terdapat benjolan-benjolan yang terasa kasar. Apa penyebab dan gejala keratosis pilaris?
Keratosis Seboroik,https://www.klikdokter.com/penyakit/masalah-kulit/keratosis-seboroik,"Keratosis seboroik adalah jenis tumor epidermal yang kerap tumbuh di dada, wajah, bahu, dan punggung. Apa itu keratosis seboroik? Cek lengkapnya di sini."
Keriput,https://www.klikdokter.com/penyakit/masalah-kulit/keriput,Keriput adalah salah satu proses penuaan yang normal terjadi pada semua orang. Keriput dapat terjadi pada seluruh kulit pada tubuh.
Ketombe,https://www.klikdokter.com/penyakit/masalah-kulit/ketombe,"Ketombe atau dandruff berasal dari bahasa Anglo-saxon, yang merupakan gabungan kata yang berarti tetter, yaitu penyakit kulit"
Kista Epidermoid,https://www.klikdokter.com/penyakit/masalah-kulit/kista-epidermoid,"Kista epidermoid, kadang disebut juga kista sebasea, merupakan kantung berisi cairan yang tumbuh di bawah kulit."
Kista Ganglion,https://www.klikdokter.com/penyakit/masalah-otot-dan-sendi/kista-ganglion,Kista ganglion dalah benjolan yang sering muncul di sekitar sendi dan urat pada tangan dan kaki.
Koagulasi Intravaskuler Diseminata,https://www.klikdokter.com/penyakit/gangguan-darah/koagulasi-intravaskuler-diseminata,Koagulasi intravaskuler diseminata adalah kondisi gangguan aliran darah yang ditandai dengan pengental.an darah yang berlebihan
Kolera,https://www.klikdokter.com/penyakit/masalah-infeksi/kolera,Kolera merupakan penyakit akibat infeksi usus kecil yang disebabkan oleh bakteri Vibrio cholerae
Kolitis Ulseratif,https://www.klikdokter.com/penyakit/masalah-pencernaan/kolitis-ulseratif,Kolitis ulseratif merupakan salah satu jenis penyakit radang usus yang dapat menyebabkan peradangan jangka panjang.
Komedo,https://www.klikdokter.com/penyakit/masalah-kulit/komedo,Komedo pada dasarnya terbentuk akibat sumbatan pori-pori kulit.
Komedo Putih,https://www.klikdokter.com/penyakit/masalah-kulit/komedo-putih,Komedo putih terjadi akibat sumbatan pori kulit oleh kelebihan minyak.
Konjungtivitis,https://www.klikdokter.com/penyakit/masalah-mata/konjungtivitis,Konjungtivitis adalah suatu kondisi di mana terjadi peradangan pada salah satu bagian mata yang disebut konjungtiva
Konstipasi,https://www.klikdokter.com/penyakit/masalah-pencernaan/konstipasi,Konstipasi merupakan kondisi di mana buang air besar terjadi kurang dari tiga kali dalam satu minggu.
Kontraktur,https://www.klikdokter.com/penyakit/masalah-otot-dan-sendi/kontraktur,"Kontraktur adalah kekakuan jaringan tubuh yang seharusnya bersifat fleksibel. Kontraktur bisa terjadi di otot, tendon, ligamen, dan kulit."
Kram Otot,https://www.klikdokter.com/penyakit/masalah-otot-dan-sendi/kram-otot,"Kram otot terjadi apabila seseorang mengalami kontraksi otot tiba-tiba, tidak segera mereda dan terasa sangat nyeri."
Kudis,https://www.klikdokter.com/penyakit/masalah-kulit/kudis,Kudis dalam bahasa medis dikenal dengan istilah scabies. Ini adalah penyakit kulit yang disebabkan oleh tungau (mite) Sarcoptes scabei.
Kurap,https://www.klikdokter.com/penyakit/masalah-kulit/kurap,"Kurap adalah infeksi kulit yang ditandai oleh radang maupun luka pada kulit. Berikut jenis, gejala, penyebab, dan pengobatan kurap."
Kutil,https://www.klikdokter.com/penyakit/masalah-kulit/kutil,Kutil merupakan tonjolan pada kulit sebagai hasil penebalan lapisan luar kulit yang berlebihan.
Kutil Kelamin,https://www.klikdokter.com/penyakit/masalah-kulit/kutil-kelamin,Kutil kelamin merupakan penyakit kulit yang ditandai dengan munculnya semacam daging berwarna kemerahan atau kehitaman di daerah kemaluan.
Kutu Rambut,https://www.klikdokter.com/penyakit/masalah-kulit/kutu-rambut,Infeksi kutu rambut disebabkan oleh parasit jenis Pediculus humanus capitis.
Laringitis,https://www.klikdokter.com/penyakit/masalah-tht/laringitis,Laringitis adalah suatu kondisi dimana terjadi peradangan (iritasi) pada organ laring (kotak suara).
Lentigo,https://www.klikdokter.com/penyakit/masalah-kulit/lentigo,"Seiring dengan bertambahnya usia, akan timbul bercak hitam atau kecokelatan pada kulit setiap orang."
Leukoplakia,https://www.klikdokter.com/penyakit/gangguan-darah/leukoplakia,Leukoplakia adalah plak atau bercak berwarna putih yang ditemukan pada mulut. Apa penyebab leukoplakia dan bagaimana cara mengobatinya? Cek di sini.
Leukositosis,https://www.klikdokter.com/penyakit/gangguan-darah/leukositosis,Leukositosis merupakan suatu kondisi tubuh yang ditandai dengan peningkatan leukosit (sel darah putih) di dalam darah.
Listeriosis,https://www.klikdokter.com/penyakit/masalah-infeksi/listeriosis,Infeksi listeria juga dikenal dengan sebutan listeriosis. Kondisi ini disebabkan oleh bakteri yang disebut Listeria monocytogenes.
Luka Bakar,https://www.klikdokter.com/penyakit/masalah-kulit/luka-bakar,Luka bakar merupakan kondisi yang timbul akibat pajanan panas suhu sedang – tinggi terhadap kulit tubuh.
Malabsorbsi Makanan,https://www.klikdokter.com/penyakit/masalah-pencernaan/malabsorbsi-makanan,Sindrom malabsorbsi makanan terjadi ketika usus halus mengalami gangguan dalam menyerap cairan dan nutrisi secara memadai.
Malaria,https://www.klikdokter.com/penyakit/masalah-infeksi/malaria,"Malaria adalah penyakit menular yang disebarkan melalui gigitan nyamuk. Biasanya pasien akan mengeluhkan gejala demam, lemas, dan menggigil."
Masuk Angin,https://www.klikdokter.com/penyakit/masalah-kesehatan-umum/masuk-angin,"Masuk angin adalah istilah yang sering digunakan saat merasakan gejala tidak enak badan. Ini penyebab, gejala, dan pengobatannya."
Mata Ikan,https://www.klikdokter.com/penyakit/masalah-kulit/mata-ikan,Mata ikan adalah kondisi penebalan kulit akibat adanya gesekan yang berulang. Bagaimana cara menghilangkan mata ikan? Simak penjelasannya di sini.
Mata Kering,https://www.klikdokter.com/penyakit/masalah-mata/mata-kering,Mata kering adalah suatu gangguan pada permukaan mata yang ditandai dengan ketidakstabilan produksi dari lapisan air mata.
Melasma,https://www.klikdokter.com/penyakit/masalah-kulit/melasma,"Melasma merupakan istilah yang digunakan untuk menggambarkan kondisi kulit, di mana terbentuk pigmentasi berwarna cokelat muda hingga tua"
Milia,https://www.klikdokter.com/penyakit/masalah-kulit/milia,Milia adalah penyakit kulit di mana timbul kelompok bintik-bintik putih kecil. Kondisi ini sering muncul pada hidung dan pipi.
Mimisan,https://www.klikdokter.com/penyakit/masalah-tht/mimisan,Mimisan atau epistaksis adalah perdarahan yang mengalir keluar dari rongga hidung atau nasofaring.
Mononukleosis,https://www.klikdokter.com/penyakit/masalah-infeksi/mononukleosis,Mononukleosis atau mono adalah penyakit yang disebabkan oleh infeksi virus Epstein-Barr (EBV). Virus ini disebarkan melalui air liur.
MRSA,https://www.klikdokter.com/penyakit/masalah-infeksi/mrsa,Methicillin-resistant Staphylococcus aureus (MRSA) merupakan jenis bakteri yang resisten atau kebal terhadap berbagai jenis antibiotik.
Muntah Darah,https://www.klikdokter.com/penyakit/masalah-pencernaan/muntah-darah,Muntah darah merupakan kondisi ditemukannya darah dalam jumlah yang signifikan dalam muntahan.
Myasthenia Gravis,https://www.klikdokter.com/penyakit/masalah-otot-dan-sendi/myasthenia-gravis,Myasthenia gravis merupakan jenis penyakit autoimun yang menyerang persambungan antara saraf dengan otot
Nyeri Otot,https://www.klikdokter.com/penyakit/masalah-otot-dan-sendi/nyeri-otot,Nyeri otot atau myalgia adalah rasa nyeri yang terjadi pada bagian otot.
Nyeri Panggul,https://www.klikdokter.com/penyakit/masalah-otot-dan-sendi/nyeri-panggul,Nyeri panggul merupakan salah satu gejala umum yang dirasakan oleh orang dewasa yang menderita osteoartritis.
Nyeri Pergelangan Tangan,https://www.klikdokter.com/penyakit/masalah-otot-dan-sendi/nyeri-pergelangan-tangan,"Nyeri pergelangan tangan sebenarnya bukanlah penyakit, melainkan gejala dari beberapa penyakit."
Nyeri Punggung,https://www.klikdokter.com/penyakit/masalah-otot-dan-sendi/nyeri-punggung,Nyeri punggung adalah gejala yang sering dirasakan orang dewasa hingga lanjut usia. Kamu juga? Cek penyebab dan pengobatan Nyeri punggung di sini.
Nyeri Punggung Bawah,https://www.klikdokter.com/penyakit/masalah-otot-dan-sendi/nyeri-punggung-bawah,Nyeri punggung bawah adalah kondisi ketika punggung bagian belakang terasa sangat nyeri hingga menghambat aktivitas. Apa penyebab Nyeri punggung bawah?
Nyeri Sendi,https://www.klikdokter.com/penyakit/masalah-otot-dan-sendi/nyeri-sendi,"Nyeri sendi atau rematik merupakan gangguan nyeri pada persendian tubuh, yang diakibatkan oleh peradangan."
Nyeri Tumit,https://www.klikdokter.com/penyakit/masalah-otot-dan-sendi/nyeri-tumit,"Nyeri tumit adalah rasa sakit yang umumnya dirasakan pada bagian belakang dan bawah kaki, yang disebut sebagai tumit. Bagaimana cara mengobati nyeri tumit? Cek di sini."
Paget Puting Susu,https://www.klikdokter.com/penyakit/gangguan-darah/paget-puting-susu,Paget puting susu atau penyakit paget pada payudara adalah penyakit kanker langka yang terjadi di kulit sekitar puting susu & areola puting
Panu,https://www.klikdokter.com/penyakit/masalah-kulit/panu,Panu adalah infeksi pada kulit yang ditandai dengan munculnya bercak putih hingga cokelat yang bersisik halus.
Penyakit Ambeien Atau Wasir,https://www.klikdokter.com/penyakit/masalah-pencernaan/ambeien,"Ambeien atau Wasir dalam bahasa medis disebut hemoroid, merupakan suatu kondisi dimana terjadi pelebaran dari pembuluh darah."
Penyakit Asam Lambung,https://www.klikdokter.com/penyakit/masalah-pencernaan/penyakit-asam-lambung,"Penyakit asam lambung dikenal juga dengan istilah sakit mag, indigestion, atau dispepsia. Mag merupakan nyeri yang berasal dari lambung"
Penyakit Cacar Monyet (Monkeypox),https://www.klikdokter.com/penyakit/masalah-infeksi/cacar-monyet,"Cacar monyet atau monkeypox merupakan penyakit infeksi yang disebabkan oleh Monkeypox virus (MPXV). Ini penyebab, gejala, dan pengobatannya."
Penyakit Celiac,https://www.klikdokter.com/penyakit/masalah-pencernaan/penyakit-celiac,Penyakit celiac adalah penyakit saluran pencernaan yang disebabkan oleh reaksi sistem imunitas yang tidak normal terhadap gluten.
Penyakit Coxsackie,https://www.klikdokter.com/penyakit/masalah-infeksi/penyakit-coxsackie,"Coxsackie adalah jenis penyakit yang disebabkan oleh virus Coxsackie, yang merupakan jenis RNA Virus."
Penyakit Kuning,https://www.klikdokter.com/penyakit/masalah-pencernaan/penyakit-kuning,Penyakit kuning terjadi akibat penumpukan bilirubin di darah dan jaringan tubuh lainnya.
Penyakit Lyme,https://www.klikdokter.com/penyakit/masalah-infeksi/penyakit-lyme,Penyakit lyme adalah penyakit yang disebabkan oleh infeksi bakteri yang disebarkan oleh gigitan kutu yang terinfeksi.
Penyakit Maag,https://www.klikdokter.com/penyakit/masalah-pencernaan/mag,"Awas, penyakit mag bisa mengganggu. Ini penyebab, gejala, diagnosis, cara pengobatan, dan obat mag yang bisa dikonsumsi untuk meredakannya."
