"id","nama_obat","khasiat","efek_samping","deskripsi","foto_obat"
"21","Anjeran","Sakit Gigi, Sakit Mata, Gatal-gatal, dan Bisul.","Ajeran atau kinehi (sebutan di Hawain) telah lama dikenal dan digunakan oleh masyarakat di Amerika Tengah dan Selatan serta Afrika Barat sebagai obat luar.

Meskipun demikian, pemanfaatan ajeran dengan dosis tinggi perlu sikap hati-hati karena dapat menyebabkan iritasi ginjal. Jika di luar negeri pengembangan dan penelitian tentang manfaatnya sudah banyak dilakukan, tidak demikian halnya di Indonesia.","Tumbuhan ini dikenal sebagai tanaman semak yang banyak tumbuh di pinggir jalan atau sengaja ditanam di pekarangan rumah sebagai tanaman hias. Tumbuhan ini mudah tumbuh, tidak suka air, tinggi mencapai 1,5 meter. Batang berbentuk agak lonjong dengan pinggir bergerigi. Bunga bertangkai panjang, mahkota bunga berwarna putih dengan putik berwarna kuning.","https://storage.googleapis.com/herbitionalbucket/foto_obat/anjeran.jpg"
"22","Arairut (Garut)","Diare, Radang Usus, dan Penawar Racun.","Meskipun belum ditemukan literatur yang menyebutkan adanya kontraindikasi maupun efek samping dari konsumsi rimpang arairut Namun, sebaiknya perlu hati-hati dan waspada terutama bagi ibu-ibu yang hamil dan menyusui.","Herba berbatang lunak tegak dengan tinggi mencapai 40-100 cm. Batang tipis, biasanya bercabang banyak ke arah ujung. Daun keras dan bercabang, berseling, tangkai daun berpelepah pada pangkalnya dengan helaian daun berbentuk bulat telur hingga melonjong, berwarna hijau atau kadang-kadang bergaris putih atau ungu kemerahan. Bunga berbentuk malai yang tumbuh di ujung batang berwarna putih. Buah melonjong, merah tua, gundul sampai berambut Rimpang berdaging, berbentuk silinder, berwarna putih atau kemerahan.","https://storage.googleapis.com/herbitionalbucket/foto_obat/Arairut-Maranta-arundinacea-L-arrowroot-1.png"
"23","Aren (Enau)","Luka, Batu Ginjal, Sakit Gigi, Sariawan, dan Pencahar.","Aren sangat disukai oleh segala macam bakteri/mikroba/jasad renik yang menyebabkan kerusakan dan perubahan sifat-sifat nira tersebut. Oleh karena itu, perlu kehati-hatian mengkonsumsi aren terutama yang telah mengalami fermentasi. Aren yang sudah berubah menjadi gula merah dapat menggantikan gula putih bagi penderita diabetes, tetapi tetap dijaga dosisnya agar jangan berlebihan.","Palem pohon yang tidak bercabang, tingginya bisa mencapai 20 m. Batang ditutupi oleh bekas pangkal tangkai daun dan serat-serat panjang berwarna hitam keabu-abuan. Daun menyirip dengan panjang 6-10 m, tangkai daun 1-1,5 m. Perbungaan berumah satu, tumbuh di antara ketiak daun, merunduk bisa lebih dari 2 m panjangnya, bunga betina ada di ujung dan bunga jantan tumbuh di bagian bawah batangnya. Buah batu, berbentuk bulat atau bulat telur dengan panjang 5- 8 cm, berdaging, terdiri atas 2-3 biji hitam.","https://storage.googleapis.com/herbitionalbucket/foto_obat/Aren-Enau-kolang-kaling-Arenga-pinnata-1.png"
"24","Asem Jawa","Astringen, Demam, Tonik, Melancarkan Peredaran Darah, Pencahar, Menambah Nafsu Makan, Penyejuk, dan Abortivum, .","Wanita hamil dilarang makan daging buah asam yang sudah tua","Pohon, tinggi dapat mencapai 20 m. Batang berkayu dan bercabang. Daun majemuk menyirip genap. Perbungaan majemuk berbentuk tandan, keluar dari ketiak daun atau ujung percabangan. Buah polong, warna kulit cokelat, daging buah kuning sampai cokelat kekuningan.","https://storage.googleapis.com/herbitionalbucket/foto_obat/Asem-Jawa-Tamarindus-indica-L-tamarind-1.png"
"25","Avokad (Alpukat)","Darah Tinggi (Hipertensi), Gangguan Ginjal, Kolesterol, Masalah Kulit, dan Sariawan.","Meskipun belum ada informasi bahaya mengonsumsi alpukat, tetap harus diingat bahwa avokad mengandung lemak yang bisa membuat berat badan bertambah.","Pohon dengan tinggi bisa 20 m. Daun berbentuk oval sampai lonjong Bunga tersusun dalam malai, berwarna putih kekuningan. Buah berbentuk bola sampai bulat telur, berwarna hijau atau hijau kekuningan.","https://storage.googleapis.com/herbitionalbucket/foto_obat/Avokad-alpukat-Persea-americana-Mill-avocado-9.png"
"26","Bambu Kuning","Hepatitis dan Kolesterol.","Belum ditemukan literatur yang menyebutkan adanya kontraindikasi maupun efek samping dari konsumsi rebung bambu kuning. Namun, sebaiknya beberapa hal ini perlu diperhatikan sebagai sikap kewaspadaan.

1. Bagi yang sedang hamil dan menyusui: jangan mengkonsumsi rebung bambu kuning.

2. Bagi anak-anak: sebaiknya tidak mengkonsumsi dengan dosis yang berlebihan sebelum berkonsultasi dengan herbalis atau dokter.","Rumpun, tumbuh tegak dan tidak terlalu rapat, rebung kuning atau hijau tertutup bulu cokelat hingga hitam. Percabangan tumbuh 1,5 m dari permukaan tanah. Buluh muda hijau mengkilap atau kuning bergaris hijau. Pelepah buluh mudah luruh, tertutup bulu hitam hingga cokelat","https://storage.googleapis.com/herbitionalbucket/foto_obat/Bambusa-vulgaris-Schrad-yellow-bamboo-bambu-kuning-1.png"
"27","Bandotan","Disentri, Diare, dan Luka.","Beberapa jenis bandotan tidak aman bila digunakan untuk jangka waktu yang panjang atau dalam dosis tinggi. Penggunaan jangka panjang dari bentuk-bentuk lain dari bandotan dapat menyebabkan pusing, muntah, mulut kering, haus, dan mimisan.

Jika mengonsumsi dengan jumlah yang banyak dapat menyebabkan kejang dan masalah pernapasan yang parah.","Tumbuhan herba semusim, tumbuh tegak atau bagian bawahnya berbaring, tingginya sekitar 30-50 cm dan bercabang banyak. Batangnya berbentuk bulat, lunak dan berbulu tebal. Daunnya berbentuk bulat telur berwarna hijau atau hijau kekuningan dan kuning berbintik hijau, bunganya banyak kecil-kecil berkumpul dalam satu tabung, warna bunganya ada yang berwarna ungu dan yang berwarna putih.","https://storage.googleapis.com/herbitionalbucket/foto_obat/Bandotan-Bandotan-Ageratum-conyzoides-L-goatweed-1.png"
"28","Bangle","Demam, Sakit Kepala, Batuk, Sakit Perut, Masuk Angin, Sembelit, Sakit Kuning, Cacingan, dan Rematik.","Belum ada informası yang menyatakan dampak negatif penggunaan bangle untuk pengobatan. Namun, harus tetap berhati - hati dan konsultasikan ke herbalis atau dokter dalam penggunaannya","Herba semusim, tumbuh tegak, tinggi 1-1,5 m, berbatang semu, terdiri dari pelepah daun yang di pinggirnya berambut sikat. Daun tunggal, letak 35 cm. Bunga majemuk tandan, muncul di ujung batang, kelopak tersusun seperti sisik tebal, warna merah menyala. Bibir bunga bentuknya bundar memanjang, warnanya putih atau pucat. Rimpang bentuknya hampir bundar sampai jorong atau tidak beraturan","https://storage.googleapis.com/herbitionalbucket/foto_obat/Bangle-Zingiber-montanum-J.Koenig-Link-ex-A.Dietr-purple-ginger-1.png"
"29","Bangle Hantu (Lempuyang) ","Batuk, Demam, Encok, Gatal-Gatal, dan Sakit Pinggang","Belum ditemukan literatur yang menyebutkan adanya kontraindikasi maupun efek samping dari konsumsi rimpang dan daun bangle hantu. Namun, sebaiknya beberapa hal ini perlu diperhatikan sebagai sikap kewaspadaan.

1. Bagi yang sedang hamil dan menyusu jangan mengkonsumsinya.

2. Bagi anak-anak: sebaiknya tidak mengkonsumsi dengan dosis yang berlebihan sebelum berkonsultasi dengan herbalis atau dokter.","Herba berbatang semu, tegak, tinggi mencapai 2 m, tumbuh merumpun. Daun tunggal berbentuk lanset dan ujungnya meruncing. Bunga majemuk berbentuk bulir memanjang. Buah kotak berbiji bulat berwarna hitam. Rimpang berwarna ungu kotor dan berbau tajam.","https://storage.googleapis.com/herbitionalbucket/foto_obat/bangle-hantu.png"
"30","Baru Cina","Ayan (Epilepsi), Bisul, dan Lemah Syahwat.","Baru cina dapat menyebabkan keguguran dan menyebabkan rahim berkontraksi. Belum banyak info yang dipublikasikan mengenai pengaruhnya terhadap ibu menyusui, tetapi sebaiknya ibu menyusui menghindari konsumsi baru cina.

Baru cina dapat menyebabkan reaksi alergi pada individu yang alergi terhadap keluarga tanaman Asteraceae, alergi pada orang yang alergi terhadap seledri, atau wortel liar.","Herba tegak hingga tingginya mencapai 2 m, percabangan banyak dengan daun berbagi menjari ujungnya meruncing, berambut halus. Warna daun bagian bawah agak putih. Bunga majemuk kecil-kecil berwarna kuning muda dan bonggol tersusun dalam malai yang menunduk.","https://storage.googleapis.com/herbitionalbucket/foto_obat/Baru-Cina-Artemisia-vulgaris-L-mugwort-7.png"
"31","Bawang Daun","Kesehatan Jantung, Pilek, Demam dan Flu, Kesehatan Kulit, Diabetes, Cacingan, Infeksi, Luka, Menghambat Jamur Kulit, dan Basil Disentri.","Belum ditemukan informasi mengenai pengaruh negatif dari pemakaian bawang daun dalam pengobatan.","Herba semusim, tinggi 60-70o cm. Batang berupa batang semu, beralur, tidak bercabang Daun tunggal berbentuk bulat panjang, berlubang seperti pipa, pertulangan sejajar, daging daun tipis, rata, berwarna hijau. Bunga majemuk dengan tangkai silindris, kelopak berbentuk corong Buah kotak lonjong berdiameter hingga 5 mm. Biji kecil, putih dan pipih, setelah tua menjadi hitam.","https://storage.googleapis.com/herbitionalbucket/foto_obat/bawang%20daun.jpg"
"32","Bawang Dayak","Demam, Nifas, Mual, Sembelit, Susah Kencing, dan Disentri.","Belum ditemukan literatur yang menyebutkan adanya kontraindikasi maupun efek samping dari konsumsi bawang dayak. Namun, sebaiknya beberapa hal ini perlu diperhatikan sebagai sikap kewaspadaan.

1. Bagi yang sedang hamil dan menyusui: jangan mengonsumsi bawang dayak.

2. Bagi anak-anak: sebaiknya tidak mengonsumsi dengan dosis yang berlebihan sebelum berkonsultasi dengan herbalis atau dokter.","Herba merumpun tingginya mencapai 50 cm. Batangnya tumbuh tegak atau merunduk, berumbi yang berbentuk kerucut dan warnanya merah. Daunnya ada dua macam, yaitu yang sempurna berbentuk pita dengan ujungnya runcing, sedangkan daun-daun lainnya berbentuk menyerupai batang. Bunga tunggal, berwarna putih, muncul di ketiak daun atas. Buah kotaknya berbentuk jorong dengan bagian ujungnya berlekuk. Bila masak merekah menjadi tiga rongga yang berisi banyak biji. Bentuk bijinya bundar telur atau hampir bujur sangkar.","https://storage.googleapis.com/herbitionalbucket/foto_obat/bawang-dayak.jpg"
"33","Bawang Merah","Sakit Telinga, Kanker, Kuman di Mulut, dan Jerawat.","Konsumsi bawang merah berlebihan bisa menyebabkan migran, kepala pusing, dan menggelapkan pandangan mata. Di samping itu, mengganggu sesama manusia karena bau mulut yang tidak sedap.","Tanaman semusim yang berbentuk seperti rumput, berbatang pendek dan berakar serabut, tinggi dapat mencapai 25 cm dan membentuk numpun. Daun berbentuk seperti pipa, bulat kecil memanjang so-70 cm, berlubang, bagian ujungnya meruncing, berwarna hijau muda sampai hijau tua Batang semu yang berada di dalam tanah berubah bentuk dan menjadi umbi lapis Tangkai bunga keluar dari dasar umbi. Bunga majemuk berbentuk tandan yang terdiri atas 50-200 kuntum bunga. Buah berbentuk bulat dengan ujung tumpul yang membungkus bij yang berbentuk agak pipih","https://storage.googleapis.com/herbitionalbucket/foto_obat/bawang-merah.jpg"
"34","Bawang Putih","Kanker, Hipertensi, Jantung, Kolesterol, dan Berbagai Penyakit Kulit.","Hati-hati dalam pemakaian pasta bawang putih, karena dapat menyebabkan kulit tubuh melepuh bila pemakaian terlalu banyak. Bawang putih juga memiliki efek mencairkan darah sehingga penderita maag tidak dianjurkan untuk mengonsumsinya, demikian pula bagi wanita yang sedang menstruasi.

Ada juga beberapa orang yang bisa mengalami reaksi alergi ketika mengonsumsi bawang putih. Gejala yang mungkin muncul adalah rasa terbakar pada jantung, perut kembung, dan lain sebagainya. Jika hal itu terjadi, segera konsultasikan dengan dokter.","Herba annual, tumbuh tegak, tingginya 30-60 cm. Batang kecil o,5-1 cm. Daun membentuk batang semu. Bunga majemuk membentuk payung sederhana, muncul di setiap anak umbi. Umbi lapis berupa umbi majemuk berbentuk hampir bundar, garis tengahnya 4-6 cm terdiri atas 8-20 siung seluruhnya diliputi 3-5 selaput tipis serupa kertas berwarna agak putih, tiap siung diselubungi oleh dua selaput serupa kertas, selaput luar warna agak putih dan agak longgar, selaput dalam warna merah muda dan melekat pada bagian padat.

","https://storage.googleapis.com/herbitionalbucket/foto_obat/bawang-putih.jpg"
"35","Bayam Duri","Melancarkan ASI, Sakit Gigi, dan Bisul.","Sebaiknya tidak dikonsumsi ketika seseorang sedang menstruasi dan hami karena dapat menyebabkan osteoporosis dan ketidakseimbangan kalsium. Berhati hati pula terhadap polennya karena dapat menyebabkan keraritis (peradangan pada kornea mata).","Herba semusim, tumbuh tegak, tinggi mencapai a m Batang berwarna hijau atau kemerahan, bagian pangkal polos, bagian atas sedikit berambut, sering bercabang banyak dan berduri. Daun tunggal, bertangkai panjang, letak berseling, tepi rata kadang beringgit. Pada ketiak daun terdapat sepasang duri keras yang mudah lepas. Bunga keluar di ketiak daun atau vjung batang, warnanya hijau keputihan. Buah bulat panjang, hijau, berbiji bulat, kecil, dan berwarna hitam.","https://storage.googleapis.com/herbitionalbucket/foto_obat/bayam-duri.jpg"
"36","Belimbing","Darah Tinggi, Susah Buang Air Besar, Malaria, dan Batuk.","Mengonsumsi buah belimbing tidak disarankan bagi yang memiliki kasus keasaman tukak lambung, asam urat arthritis, gagal ginjal, dan juga penyakit kulit Oleh karena itu, bagi yang sedang hamil dan menyusui sebaiknya jangan mengonsumsi belimbing. Bagi anak-anak, sebaiknya tidak mengonsumsi dengan dosis yang berlebihan.","Pohon mencapai tinggi 12 m. Batang berkayu, bercabang-cabang, cokelat kotor. Daun majemuk, menyirip, ujung runcing, pangkal membulat, dan tepi rata Bunga majemuk, berbentuk malai, pada ranting atau ketiak daun. Buah buni, panjang 4-13 cm. Biji lanset dan pipih.","https://storage.googleapis.com/herbitionalbucket/foto_obat/belimbing.jpg"
"37","Belimbing Wuluh","Gondongan, Batuk Rejan, Jerawat, Panu, Diabetes, dan Sariawan.","Hasil penelitian menunjukkan bahwa mengonsumsi rutin jus belimbing wuluh berdampak meningkatkan kadar SGPT (Serum Glutamic Pyruvic Transaminase) Oleh karena itu, bagi yang sedang hamil dan menyusui sebaiknya jangan mengonsumsi belimbing wuluh. Bagi anak-anak, sebaiknya tidak mengonsum dengan dosis yang berlebihan","Pohon tahunan dengan tinggi dapat mencapai 10 m. Batang utamanya pendek dan cabangnya rendah dengan batang bergelombang. Daun majemuk, berselang-seling. Bunganya kecil, muncul langsung dari batang dengan tangkai bunga berambut. Buahnya elips hingga seperti torpedo, panjangnya 4-10 cm Warna buah ketika muda hijau, dengan sisa kelopak bunga menempel di ujungnya. Jika buah masak berwarna kuning Bijinya kecil, berbentuk pipih, dan berwarna cokelat, serta tertutup lendir","https://storage.googleapis.com/herbitionalbucket/foto_obat/blimbing-wuluh.jpg"
"38","Beluntas","Bau Badan.","Belum ditemukan literatur yang menyebutkan adanya kontraindikasi maupun efek samping dari konsumsi tanaman beluntas. Namun, sebaiknya beberapa hal ini perlu diperhatikan sebagai sikap kewaspadaan.
1. Bagi yang sedang hamil dan menyusui: jangan mengonsumsi beluntas.
2. Bagi anak-anak: sebaiknya tidak mengonsumsi dengan dosis yang berlebihan sebelum berkonsultasi dengan herbalis atau dokter.

","Perdu tegak dengan tinggi 1,5-3 m, bercabang banyak dan berbatang kayu bulat. Daun tunggal berseling, berbentuk bulat panjang, dan bertangkai pendek. Karangan bunga berbentuk malai di ujung dengan warna ungu atau pink. Buah kecil dan keras berwarna cokelat serta berbulu banyak.","https://storage.googleapis.com/herbitionalbucket/foto_obat/beluntas.jpg"
"39","Bidara Laut","Rematik dan Radang Kulit.","Takaran yang berlebihan dapat menyebabkan kaku pada leher dan muka, napas pendek, dilatasi pupil mata, dan kejang Dosis tinggi dapat menyebabkan kejang dan kelumpuhan sistem pernapasan yang menyebabkan kematian Pemakaian yang lama bisa terjadi efek akumulasi dan menimbulkan keracunan","Semak dengan tinggi dapat mencapai 2 m. Berbatang kecil, berkayu keras, dan kuat. Bagian bawah pokoknya dan akarnya berwarna lebih kuning sampai berwarna sawo matang. Daun tunggal, bertangkai, letak berseling, bentuk oval, tepi rata, ujung runcing, panjang 6- 12 cm, lebar 3,5-8,5 cm. Bunga berbentuk payung menggarpu tumbuh di ketiak daun, panjang 1-2 cm, berisi 7-20 kuntum. Bunga-bunga berukuran kecil, bergaris tengah 2-3 mm, berwarna kekuningan, sedikit harum. Buah bulat, berdiameter 2-4 cm, berwarna kuning kemerahan.","https://storage.googleapis.com/herbitionalbucket/foto_obat/bidara%20laut.jpg"
